"EVENT_DATE	YEAR	TIME_PRECISION	EVENT_TYPE	INTERACTION	COUNTRY	ADMIN1	ADMIN2	LATITUDE	LONGITUDE	GEO_PRECISION	FATALITIES	latlong"
"13/04/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Rural	Mutimbuzi	-3.34130	29.30190	1	1	""-3.3413,29.3019"""
"13/04/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Gihosha	-3.35970	29.39360	1	1	""-3.3597,29.3936"""
"13/04/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	1	""-3.4158,29.375"""
"13/04/2016	2016	1	Violence against civilians	37	Burundi	Gitega	Gitega	-3.46320	29.93540	1	1	""-3.4632,29.9354"""
"15/04/2016	2016	1	Strategic development	13	Burundi	Bujumbura Mairie	Jabe	-3.37099	29.37128	1	0	""-3.370986,29.371277"""
"16/04/2016	2016	1	Violence against civilians	37	Burundi	Bururi	Mugamba	-3.66670	29.58610	1	4	""-3.6667,29.5861"""
"17/04/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Muha	-3.39573	29.37152	2	0	""-3.395733,29.371517"""
"17/04/2016	2016	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	0	""-3.3527,29.37"""
"17/04/2016	2016	1	Strategic development	30	Burundi	Bujumbura Mairie	Kinindo	-3.40653	29.35421	1	0	""-3.406532,29.354208"""
"17/04/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Kinama	-3.33440	29.37750	1	0	""-3.3344,29.3775"""
"18/04/2016	2016	1	Violence against civilians	17	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	1	""-3.3363,29.3788"""
"18/04/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	1	""-3.3527,29.37"""
"20/04/2016	2016	1	Battle-No change of territory	13	Burundi	Bururi	Mugamba	-3.66670	29.58610	1	2	""-3.6667,29.5861"""
"20/04/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Kinama	-3.33440	29.37750	1	2	""-3.3344,29.3775"""
"22/04/2016	2016	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	2	0	""-3.3363,29.3788"""
"01/01/2016	2016	3	Violence against civilians	78	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
"02/01/2016	2016	2	Violence against civilians	47	Central African Republic	Ouham Pende	Paoua	7.24521	16.43418	2	1	""7.245206,16.434175"""
