date	YEAR	EVENT_TYPE	ACTOR1	INTER1	ACTOR2	INTER2	INTERACTION	COUNTRY	ADM_LEVEL_1	ADM_LEVEL_2	LOCATION	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	geo	lat	latlong
3/5/2015	2015	Non-violent activity by a conflict actor	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	3	Civilians (Burundi)	7	37	Burundi	Kirundo	Kirundo	Kirundo	-2.5842	30.0972	2	Thomson Reuters Foundation	0	54	-2.584254	"-2.584254,30.0972"
4/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Buterere	Buterere	-3.3333	29.3333	1	Radio Isanganiro website; Associated Press International	0	55	-3.333355	"-3.333355,29.3333"
4/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Kinama	Cibitoke	-3.3363	29.3788	1	Radio Isanganiro website; Associated Press International	0	56	-3.336356	"-3.336356,29.3788"
4/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Kinindo	Kinondo	-3.40653	29.35421	1	Xinhua General News Service	0	57	-3.4065357	"-3.4065357,29.35421"
4/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Musaga	Musaga	-3.4158	29.375	1	Xinhua General News Service; Associated Press International	3	58	-3.415858	"-3.415858,29.375"
4/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Buterere	Mutakura	-3.3408	29.3603	1	Radio Isanganiro website; Associated Press International	0	59	-3.340859	"-3.340859,29.3603"
4/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Nyakabiga	Nyakabiga	-3.3733	29.3767	1	Radio Isanganiro website; Associated Press International	0	60	-3.373360	"-3.373360,29.3767"
4/5/2015	2015	Violence against civilians	Protesters (Burundi)	6	Police Forces of Burundi (2005-)	1	16	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Xinhua General News Service	0	61	-3.377261	"-3.377261,29.358"
4/5/2015	2015	Violence against civilians	Protesters (Burundi)	6	Police Forces of Burundi (2005-)	1	16	Burundi	Bujumbura Mairie	Lake Tanganyika	Ntahangwa	-3.3691	29.3408	1	Xinhua General News Service	0	62	-3.369162	"-3.369162,29.3408"
5/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Kigobe	Kigobe	-3.36462	29.38792	1	Xinhua General News Service	0	63	-3.3646263	"-3.3646263,29.38792"
5/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Ngagara	Ngagara	-3.3527	29.37	1	Xinhua General News Service	0	64	-3.352764	"-3.352764,29.37"
5/5/2015	2015	Violence against civilians	Prison Guards (Burundi)	1	Prisoners (Burundi)	7	17	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Bonesha FM radio	0	65	-3.377265	"-3.377265,29.358"
6/5/2015	2015	Non-violent activity by a conflict actor	Police Forces of Burundi (2005-)	1	Civilians (Burundi)	7	17	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Associated Press International 	0	66	-3.377266	"-3.377266,29.358"
6/5/2015	2015	Riots/Protests	Protesters (Burundi)	6	Police Forces of Burundi (2005-)	1	16	Burundi	Bujumbura Mairie	Kinindo	Kinondo	-3.40653	29.35421	1	Associated Press International  	0	67	-3.4065367	"-3.4065367,29.35421"
7/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	2	Agence France Presse - English	3	68	-3.377268	"-3.377268,29.358"
7/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Kinama	Kinama	-3.3344	29.3775	1	Agence France Presse - English	1	69	-3.334469	"-3.334469,29.3775"
7/5/2015	2015	Violence against civilians	Rioters (Burundi)	5	Civilians (Burundi)	7	57	Burundi	Bujumbura Mairie	Nyakabiga	Nyakabiga	-3.3733	29.3767	1	Radio Isanganiro; Bonesha FM	1	70	-3.373370	"-3.373370,29.3767"
8/5/2015	2015	Non-violent activity by a conflict actor	Protesters (Burundi)	6	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)	3	36	Burundi	Bujumbura Mairie	Buterere	Mutakura	-3.3408	29.3603	1	Radio Isanganiro  	0	71	-3.340871	"-3.340871,29.3603"
8/5/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Kinindo	Kinondo	-3.40653	29.35421	1	Radio Isanganiro	0	72	-3.4065372	"-3.4065372,29.35421"
8/5/2015	2015	Riots/Protests	Rioters (Burundi)	5		0	50	Burundi	Bujumbura Mairie	Musaga	Musaga	-3.4158	29.375	1	Radio Isanganiro	0	73	-3.415873	"-3.415873,29.375"
8/5/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Rural	Kanyosha1	Kanyosha	-3.4156	29.4075	1	Radio Isanganiro	0	74	-3.415674	"-3.415674,29.4075"
9/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Military Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	2	Agence France Presse - English	0	75	-3.377275	"-3.377275,29.358"
10/5/2015	2015	Riots/Protests	Protesters (Burundi)	6	Police Forces of Burundi (2005-)	1	16	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Radio France Internationale; Agence France Presse	0	76	-3.377276	"-3.377276,29.358"
10/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Kinama	Cibitoke	-3.3363	29.3788	1	Agence France Presse	0	77	-3.336377	"-3.336377,29.3788"
10/5/2015	2015	Violence against civilians	Civilians (Burundi)	7	Police Forces of Burundi (2005-)	1	17	Burundi	Bujumbura Mairie	Musaga	Musaga	-3.4158	29.375	1	Agence France Presse - English; Radio France Internationale	1	78	-3.415878	"-3.415878,29.375"
11/5/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Bwiza	Bwiza	-3.3725	29.365	1	Bonesha FM	0	79	-3.372579	"-3.372579,29.365"
11/5/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Jabe	Jabe	-3.37099	29.37128	1	Bonesha FM	0	80	-3.3709980	"-3.3709980,29.37128"
11/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Musaga	Musaga	-3.4158	29.375	1	Associated Press international  	0	81	-3.415881	"-3.415881,29.375"
11/5/2015	2015	Riots/Protests	Protesters (Burundi)	6		0	60	Burundi	Bujumbura Mairie	Nyakabiga	Nyakabiga	-3.3733	29.3767	1	Bonesha FM	0	82	-3.373382	"-3.373382,29.3767"
11/5/2015	2015	Riots/Protests	Rioters (Burundi)	5		0	50	Burundi	Bujumbura Rural	Kanyosha1	Kanyosha	-3.4156	29.4075	1	Bonesha FM	0	83	-3.415683	"-3.415683,29.4075"
12/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Buterere	Buterere	-3.3333	29.3333	1	Xinhua General News Service; Agence France Presse - English	1	84	-3.333384	"-3.333384,29.3333"
12/5/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Ngagara	Ngagara	-3.3527	29.37	1	Xinhua General News Service; Agence France Presse - English	0	85	-3.352785	"-3.352785,29.37"
13/05/2015	2015	Battle-No change of territory	Military Forces of Burundi (2005-)	1	Mutiny of Military Forces of Burundi (2005-)	1	11	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	2	Xinhua General News Service; Associated Press International; Agence France Presse; Agence France Presse - English	4	86	-3.377286	"-3.377286,29.358"
13/05/2015	2015	Battle-Non-state actor overtakes territory	Military Forces of Burundi (2005-)	1	Mutiny of Military Forces of Burundi (2005-)	1	11	Burundi	Bujumbura Mairie	Buterere	Bujumbura Airport	-3.31914	29.32063	1	Agence France Presse - English; Xinhua General News Service	4	87	-3.3191487	"-3.3191487,29.32063"
