ADMIN1,COUNTRY,SF_NAME,ISO3,HAZARD,VULNERABILITY,COPING,RISK,POV,POP,TEST
East Darfur,Sudan,East Darfur,SDN,7.31,6.52,7.71,7.16,,1666966,3.00
Gedaref,Sudan,Gedaref,SDN,4.77,4.89,7.71,5.65,,1345142,4.00
Kassala,Sudan,Kassala,SDN,7.61,5.81,7.71,6.99,,2200055,5.00
Khartoum,Sudan,Khartoum,SDN,7.52,4.15,7.71,6.22,,5848596,6.00
North Darfur,Sudan,North Darfur,SDN,8.57,6.68,7.71,7.62,,2394978,7.00
North Kordofan,Sudan,North Kordofan,SDN,7.45,4.71,7.71,6.47,,3278585,8.00
Northern,Sudan,Northern,SDN,7.14,3.41,7.71,5.73,,786419,9.00
Red Sea,Sudan,Red Sea,SDN,6.11,4.67,7.71,6.04,,1565316,10.00
Nile,Sudan,Nile,SDN,5.69,3.41,7.71,5.31,,1262989,1.00
Sennar,Sudan,Sennar,SDN,5.75,4.28,7.71,5.74,,1406966,2.00
South Darfur,Sudan,South Darfur,SDN,9.29,6.43,7.71,7.72,,2896500,3.00
South Kordofan,Sudan,South Kordofan,SDN,9.09,6.15,7.71,7.55,,1671193,4.00
West Darfur,Sudan,West Darfur,SDN,9.19,6.78,7.71,7.83,,681089,5.00
White Nile,Sudan,White Nile,SDN,5.93,4.20,7.71,5.77,,1692547,6.00
Central 1,Uganda,CENTRAL 1,UGA,5.04,3.46,6.81,4.92,0.30,3988911,7.00
Central 2,Uganda,CENTRAL 2,UGA,6.05,3.53,6.81,5.26,0.29,3744763,8.00
East Central,Uganda,EAST CENTRAL,UGA,5.90,3.70,6.81,5.30,0.37,3969396,9.00
Eastern,Uganda,MID EASTERN,UGA,6.05,3.96,6.81,5.47,0.42,4922626,10.00
Kampala,Uganda,KAMPALA,UGA,5.67,3.66,6.81,5.21,0.08,1693456,1.00
KARAMOJA,Uganda,NORTH EAST,UGA,5.78,5.80,6.81,6.11,0.63,1039889,2.00
North,Uganda,MID NORTHERN,UGA,5.40,4.84,6.81,5.63,0.43,3613325,3.00
Southwest,Uganda,SOUTH WESTERN,UGA,5.28,3.79,6.81,5.14,0.40,4808969,4.00
WEST NILE,Uganda,WEST NILE,UGA,4.67,4.20,6.81,5.11,0.48,2725587,5.00
Western,Uganda,MID WESTERN,UGA,5.34,4.70,6.81,5.55,0.35,4224030,6.00
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
