date,EVENT_TYPE,COUNTRY,ADM_LEVEL_1,ADM_LEVEL_2,FATALITIES
3/1/2015,Battle-No change of territory,Somalia,Mudug,Goldogob,1
3/1/2015,Violence against civilians,Somalia,Shabeellaha Hoose,Afgooye,0
4/1/2015,Battle-No change of territory,Somalia,Bakool,Tiyeeglow,5
4/1/2015,Battle-No change of territory,Somalia,Bakool,Xudur,4
4/1/2015,Battle-No change of territory,Somalia,Bakool,Xudur,0
4/1/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,0
4/1/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,5
4/1/2015,Violence against civilians,Somalia,Hiiraan,Beledweyne ,1
4/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Afgooye,0
4/1/2015,Remote violence,Somalia,Shabeellaha Hoose,Afgooye,0
4/1/2015,Riots/Protests,Somalia,Togdheer,Buuhoodle,0
5/1/2015,Battle-No change of territory,Somalia,Bakool,Xudur,11
5/1/2015,Battle-No change of territory,Somalia,Bakool,Xudur,0
5/1/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,0
5/1/2015,Remote violence,Somalia,Banaadir,Mogadisho,0
5/1/2015,Violence against civilians,Somalia,Banaadir,Mogadisho,2
5/1/2015,Violence against civilians,Somalia,Banaadir,Mogadisho,1
5/1/2015,Battle-No change of territory,Somalia,Bari,Bosaso,0
5/1/2015,Remote violence,Somalia,Mudug,Gaalkacayo,1
5/1/2015,Non-violent activity by a conflict actor,Somalia,Nugaal,Garoowe,0
5/1/2015,Violence against civilians,Somalia,Nugaal,Burtinle,1
5/1/2015,Battle-No change of territory,Somalia,Shabeellaha Dhexe,Jawhar,1
5/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Wanla Weyn ,0
5/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Marka,1
5/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Baraawe,0
5/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Baraawe,0
6/1/2015,Battle-Government regains territory,Somalia,Bakool,Xudur,15
6/1/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,0
6/1/2015,Battle-No change of territory,Somalia,Bari,Bosaso,3
6/1/2015,Battle-No change of territory,Somalia,Bari,Bosaso,25
6/1/2015,Violence against civilians,Somalia,Gedo,Baar-Dheere,4
6/1/2015,Violence against civilians,Somalia,Gedo,Beled Hawo,0
6/1/2015,Violence against civilians,Somalia,Gedo,Luuk,1
6/1/2015,Violence against civilians,Somalia,Hiiraan,Beledweyne ,1
6/1/2015,Battle-No change of territory,Somalia,Jubbada Hoose,Afmadow,0
6/1/2015,Battle-Non-state actor overtakes territory,Somalia,Jubbada Hoose,Afmadow,0
6/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Marka,0
7/1/2015,Battle-No change of territory,Somalia,Bakool,Tayeeglow,4
7/1/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,0
7/1/2015,Remote violence,Somalia,Banaadir,Mogadisho,0
7/1/2015,Non-violent activity by a conflict actor,Somalia,Bay,Baydhabo,0
7/1/2015,Battle-No change of territory,Somalia,Hiiraan,Beledweyne ,0
7/1/2015,Violence against civilians,Somalia,Hiiraan,Beled Weyn,2
7/1/2015,Battle-No change of territory,Somalia,Jubbada Dhexe,Bu'aale,1
