EVENT_DATE	YEAR	TIME_PRECISION	EVENT_TYPE	INTERACTION	COUNTRY	ADMIN1	ADMIN2	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	latlong
03/05/2015	2015	2	Strategic development	37	Burundi	Kirundo	Kirundo	-2.58420	30.09720	2	Thomson Reuters Foundation	0	"-2.5842,30.0972"
04/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	Xinhua General News Service; Associated Press International	3	"-3.4158,29.375"
04/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Kinindo	-3.40653	29.35421	1	Xinhua General News Service	0	"-3.406532,29.354208"
04/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Nyakabiga	-3.37330	29.37670	1	Radio Isanganiro website; Associated Press International	0	"-3.3733,29.3767"
04/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	Radio Isanganiro website; Associated Press International	0	"-3.3363,29.3788"
04/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Buterere	-3.34080	29.36030	1	Radio Isanganiro website; Associated Press International	0	"-3.3408,29.3603"
04/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Buterere	-3.33330	29.33330	1	Radio Isanganiro website; Associated Press International	0	"-3.3333,29.3333"
04/05/2015	2015	1	Violence against civilians	16	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Xinhua General News Service	0	"-3.3772,29.358"
04/05/2015	2015	1	Violence against civilians	16	Burundi	Bujumbura Mairie	Buyenze	-3.36910	29.34080	1	Xinhua General News Service	0	"-3.3691,29.3408"
05/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	Xinhua General News Service	0	"-3.3527,29.37"
05/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Kigobe	-3.36462	29.38792	1	Xinhua General News Service	0	"-3.364618,29.387915"
05/05/2015	2015	2	Violence against civilians	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Bonesha FM radio	0	"-3.3772,29.358"
06/05/2015	2015	1	Riots/Protests	16	Burundi	Bujumbura Mairie	Kinindo	-3.40653	29.35421	1	Associated Press International	0	"-3.406532,29.354208"
06/05/2015	2015	1	Strategic development	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Associated Press International	0	"-3.3772,29.358"
07/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Agence France Presse - English	3	"-3.3772,29.358"
07/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Kinama	-3.33440	29.37750	1	Agence France Presse - English	1	"-3.3344,29.3775"
